during training cycle 	, train error ,  test error ,   400
11   ,	0.651992,   0.500116
21   ,	0.642307,   0.489333
31   ,	0.63985,   0.485754
41   ,	0.639068,   0.485023
51   ,	0.638614,   0.485416
61   ,	0.638106,   0.486193
71   ,	0.637434,   0.487046
81   ,	0.635096,   0.488595
91   ,	0.626495,   0.487393
101   ,	0.632571,   0.486081
111   ,	0.628196,   0.480192
121   ,	0.626218,   0.453634
131   ,	0.611098,   0.430893
141   ,	0.58709,   0.230193
151   ,	0.625526,   0.348444
161   ,	0.650844,   0.205365
171   ,	0.650262,   0.241352
181   ,	0.643935,   0.277056
191   ,	0.643577,   0.290943
201   ,	0.643736,   0.296732
211   ,	0.644489,   0.29956
221   ,	0.645628,   0.301092
231   ,	0.646785,   0.302291
241   ,	0.646415,   0.315885
251   ,	0.645085,   0.324618
261   ,	0.645866,   0.308095
271   ,	0.645887,   0.30146
281   ,	0.644486,   0.263554
291   ,	0.642585,   0.272896
301   ,	0.637099,   0.2642
311   ,	0.633299,   0.255099
321   ,	0.634458,   0.255634
331   ,	0.657992,   0.258127
341   ,	0.646241,   0.280481
351   ,	0.663936,   0.280521
361   ,	0.656605,   0.2402
371   ,	0.653439,   0.229833
381   ,	0.655997,   0.283191
391   ,	0.636798,   0.298737
